index,CODE,COMM,SPEC
2471,2471,GENNADAS SP.,GENNADAS SP.
2499,2499,SHRIMP-LIKE,SHRIMP-LIKE
2506,2506,BATHYNECTES LONGISPINA,BATHYNECTES LONGISPINA
2507,2507,CRAB,CRAB
2509,2509,CANCER CRAB (NS),CANCRIDAE F.
2510,2510,BRACHIURAN CRABS,BRACHYURA S.
2511,2511,JONAH CRAB,CANCER BOREALIS
2513,2513,ATLANTIC ROCK CRAB,CANCER IRRORATUS
2515,2515,PORTUNIDAE F.,PORTUNIDAE F.
2519,2519,SPIDER CRAB (NS),MAJIDAE F.
2520,2520,"TOAD CRAB,UNIDENT.",HYAS SP.
2521,2521,HYAS COARCTATUS,HYAS COARCTATUS
2522,2522,"SPIDER/(QUEEN,SNOW)UNID",CHIONOECETES SP. (OBSOLETE)
2523,2523,NORTHERN STONE CRAB,LITHODES MAJA
2524,2524,CANCER SP.,CANCER SP.
2525,2525,SPINY CRAB,LITHODES/NEOLITHODES
2526,2526,SNOW CRAB (QUEEN),CHIONOECETES OPILIO
2527,2527,TOAD CRAB,HYAS ARANEUS
2528,2528,PORCUPINE CRAB,NEOLITHODES GRIMALDII
2529,2529,CALAPPA MEGALOPS,CALAPPA MEGALOPS
2532,2532,RED DEEPSEA CRAB,CHACEON QUINQUEDENS
2539,2539,LADY CRAB,OVALIPES OCELLATUS
2540,2540,AXIIDAE F.,AXIIDAE F.
2541,2541,AXIUS SERRATUS,AXIUS SERRATUS
2544,2544,HOMOLA MINIMA,HOMOLA MINIMA
2547,2547,SPINOLAMBRUS POURTALESII,SPINOLAMBRUS POURTALESII
2550,2550,AMERICAN LOBSTER,HOMARUS AMERICANUS
2554,2554,GALATHEIDAE F.,GALATHEIDAE F.
2555,2555,MUNIDA IRIS,MUNIDA IRIS
2556,2556,MUNIDA VALIDA,MUNIDA VALIDA
2558,2558,PAGURUS POLITUS,PAGURUS POLITUS
2559,2559,HERMIT CRABS,PAGURIDAE F.
2560,2560,PAGUROIDEA S.F.,PAGUROIDEA S.F.
2561,2561,PAGURUS SP.,PAGURUS SP.
2562,2562,PAGURUS ACADIANUS,PAGURUS ACADIANUS
2565,2565,MUD SHRIMP,THALASSINIDAE S.F.
2566,2566,MUNIDOPSIS CURVIROSTRA,MUNIDOPSIS CURVIROSTRA
2568,2568,PAGURUS ARCUATUS,PAGURUS ARCUATUS
2571,2571,ONCOPAGURUS SPP.,ONCOPAGURUS SPP.
2600,2600,KRILL SHRIMP,EUPHAUSIACEA O.
2605,2605,LIMACINA SP.,LIMACINA SP.
2610,2610,EUPHAUSIIDAE F.,EUPHAUSIIDAE F.
2611,2611,Northern Krill,MEGANYCTIPHANES NORVEGICA
2612,2612,EUPHAUSIA SP.,EUPHAUSIA SP.
2621,2621,THYSANOESSA RASCHII,THYSANOESSA RASCHII
2700,2700,MYSID SHRIMP,MYSIDACEA O.
2771,2771,GNATHOPHAUSIA SP.,GNATHOPHAUSIA SP.
2795,2795,EPIMERIA LORICATA,EPIMERIA LORICATA
2799,2799,STEGOCEPHALUS INFLATUS,STEGOCEPHALUS INFLATUS
2800,2800,AMPHIPODA O.,AMPHIPODA O.
2802,2802,AMPHIPOD,HYPERIA OCULATA
2803,2803,AMPHIPODS,ARRHIS PHYLLONIX
2809,2809,PARATHEMISTO SP.,PARATHEMISTO SP.
2810,2810,HYPERIA SP.,HYPERIA SP.
2811,2811,GAMMARIDAE F.,GAMMARIDAE F.
2833,2833,ANONYX SP.,ANONYX SP.
2844,2844,ANONYX SARSI,ANONYX SARSI
2848,2848,RHACHOTROPIS ACULEATA,RHACHOTROPIS ACULEATA
2864,2864,AMPHIPOD,AMPELISCA MACROCEPHALA
2893,2893,NYMPHON SP.,NYMPHON SP.
2900,2900,COPEPODA S.C.,COPEPODA S.C.
2906,2906,HYPERIIDAE F.,HYPERIIDAE F.
2908,2908,COPEPOD,MONSTRILLA SP.
2930,2930,OITHONA SPINIROSTRIS,OITHONA SPINIROSTRIS
2940,2940,TANAIDAE F.,TANAIDAE F.
2946,2946,PHRONIMA SP.,PHRONIMA SP.
2980,2980,RED ISOPOD,ISOPODA O.
2981,2981,AEGA PSORA,AEGA PSORA
2990,2990,BARNACLES,CIRRIPEDIA S.C.
2995,2995,BALANIDAE F.,BALANIDAE F.
2996,2996,IDOTEA SP.,IDOTEA SP.
2999,2999,ISOPOD,CALATHURA BRANCHIATA
3000,3000,SEGMENTED WORMS,ANNELIDA P.
3085,3085,EUNICIDAE F.,EUNICIDAE F.
3099,3099,HYALINOECIA CF TUBICOLA,HYALINOECIA CF TUBICOLA
3100,3100,BRISTLE WORMS,POLYCHAETA C.
3101,3101,"LARGE POLYCHAETE, 3MM DIA","POLYCHAETA C.,LARGE"
3102,3102,SMALL POLYCHAETE )3MM DIA,"POLYCHAETA C.,SMALL"
3104,3104,NEPHTYS SP.,NEPHTYS SP.
3115,3115,NEPHTYIDFAE F.,NEPHTYIDAE F.
3130,3130,NEREIS SP.,NEREIS SP.
3138,3138,SABELLIDAE F.,SABELLIDAE F.
3143,3143,FILAMENT TUBE WORM,MALDANIDAE F.
3144,3144,PECTINARIA SP.,PECTINARIA SP.
3147,3147,FAN WORM,POTAMILLA NEGLECTA
3150,3150,NEREIDAE F.,NEREIDAE F.
3159,3159,OPHELIA SP.,OPHELIA SP.
3160,3160,TEREBELLIDAE F.,TEREBELLIDAE F.
3161,3161,LUGWORM,ARENICOLA MARINA
3164,3164,SPIONIDA F.,SPIONIDA F.
3194,3194,OWENIIDAE F.,OWENIIDAE F.
3200,3200,SEA MOUSE,APHRODITA HASTATA
3210,3210,APHRODITIDAE F.,APHRODITIDAE F.
3211,3211,APHRODITA ACULEATA,APHRODITA ACULEATA (OBSOLETE)
3212,3212,APHRODITA SP.,APHRODITA SP.
3215,3215,LAETMONICE FILICORNIS,LAETMONICE FILICORNIS
3221,3221,CHONE SP.,CHONE SP.
3240,3240,CARIDEA SO.,CARIDEA SO.
3300,3300,GEPHYREA (SIPUNCULA),GEPHYREA (SIPUNCULA) P.
3500,3500,POLYNOIDAE F.,POLYNOIDAE F.
3501,3501,LEPIDONOTUS SQUAMATUS,LEPIDONOTUS SQUAMATUS
3503,3503,HARMOTHOE SP.,HARMOTHOE SP.
3505,3505,HARMOTHOE EXTENUATA,HARMOTHOE EXTENUATA
3550,3550,BLOOD WORMS,GLYCERA SP.
3551,3551,BLOOD WORM,GLYCERA CAPITATA
3600,3600,"SEA SNAILS,SEA BUTTERFLIES, PTEROPODA",HETEROPODA
3700,3700,SIPUNCULUS SP.,SIPUNCULUS SP.
3999,3999,SAND TUBE,SAND TUBE
4000,4000,MOLLUSCA P.,MOLLUSCA P.
4200,4200,SNAILS AND SLUGS,GASTROPODA O.
4209,4209,BUCCINIDAE F.,BUCCINIDAE F.
4210,4210,WHELKS,BUCCINUM SP.
4211,4211,"WAVE WHELK,COMMON EDIBLE",BUCCINUM UNDATUM
4212,4212,SILKY BUCCINUM,BUCCINUM SCALARIFORME
4213,4213,BERINGIUS TURTONI ,BERINGIUS TURTONI 
4220,4220,MOON SNAIL UNSP,NATICIDAE F.
4221,4221,NORTHERN MOONSNAIL,EUSPIRA HEROS
4224,4224,MARGARITES COSTALIS,MARGARITES COSTALIS
4225,4225,MARGARITES GROENLANDICA,MARGARITES GROENLANDICA
4227,4227,NEW ENGLAND NEPTUNE,NEPTUNEA DECEMCOSTATA
4228,4228,SPINDLE SHELL,COLUS SP.
4230,4230,DUCK OR PELICAN FOOT,APORRHAIS SP.
4231,4231,NUCELLA LAPILLUS,NUCELLA LAPILLUS
4233,4233,NASSA BIVITTATA,NASSA BIVITTATA
4235,4235,DOG WHELKS,NASSARIIDAE OR THAISIDAE F.
4240,4240,EPITONIUM,EPITONIUM SP.
4250,4250,PERIWINKLES,LITTORINIDAE F.
4252,4252,VELVET SHELL,VELUTINA LAEVIGATA
4255,4255,TOP SHELLS,TROCHIDAE F.
4259,4259,CALLIOSTOMA OCCIDENTALE,CALLIOSTOMA OCCIDENTALE
4260,4260,AMAUROPSIS ISLANDICA,AMAUROPSIS ISLANDICA
4300,4300,BIVALVIA C.,BIVALVIA C.
4301,4301,RAZOR SHELL CLAM,ENSIS DIRECTUS
4304,4304,OCEAN QUAHAUG,ARCTICA ISLANDICA
4305,4305,PANDORA GOULDIANA,PANDORA GOULDIANA
4307,4307,ASTARTE UNDATA,ASTARTE UNDATA
4308,4308,NUCULA SP.,NUCULA SP.
4310,4310,CLAMS (NS),"PROTOBRANCHIA, HETERODONTA"
4311,4311,QUAHAUG,VENUS MERCENARIA (OBSOLETE)
4312,4312,BANK CLAM,CYRTODARIA SILIQUA
4314,4314,MORRHUA VENUSNA,PITAR MORRHUANA
4315,4315,RAZOR CLAM,SILIQUA SP.
4316,4316,ASTARTE SP.,ASTARTE SP.
4317,4317,"BAR,SURF CLAM",SPISULA SOLIDISSIMA
4318,4318,SOFT SHELL CLAM,MYA ARENARIA
4319,4319,SOFT SHELL OR LONG NECK CLAM,HIATELLA ARCTICA
4320,4320,SCALLOPS,PECTINIDAE F.
4321,4321,SEA SCALLOP,PLACOPECTEN MAGELLANICUS
4322,4322,ICELAND SCALLOP,CHLAMYS ISLANDICA
4323,4323,HARD CLAM,MERCENARIA MERCENARIA
4328,4328,ANOMIIDAE F.,ANOMIIDAE F.
4330,4330,MUSSELS (NS),MYTILIDAE F.
4331,4331,COMMON MUSSELS,MYTILUS EDULIS
4332,4332,HORSE MUSSELS,MODIOLUS MODIOLUS
4334,4334,MUSCULUS NIGER,MUSCULUS NIGER
4340,4340,COCKLES,CARDIIDAE F.
4342,4342,ICELAND COCKLE,CLINOCARDIUM CILIATUM
4343,4343,GREENLAND COCKLE,SERRIPES GROENLANDICUS
4344,4344,HEART SHELL,VENERICARDIA BOREALIS
4345,4345,NORTHERN DWARF COCKLE,CERASTODERMA PINNULATUM
4346,4346,SOLEMYA BOREALIS,SOLEMYA BOREALIS
4348,4348,MOLLUSCA SHELLS EMPTY,MOLLUSCA (EMPTY)
4349,4349,SCALLOP SHELLS,PECTINIDAE SHELLS
4350,4350,NUT SHELLS,NUCULIDAE F.
4355,4355,"STIMPSON'S SURF CLAM, ARCTIC SURF CLAM",MACTROMERIS POLYNYMA
4356,4356,YOLDIA SAPOTILLA,YOLDIA SAPOTILLA
4380,4380,ANOMIA SIMPLEX,ANOMIA SIMPLEX
4381,4381,ANOMIA SP.,ANOMIA SP.
4400,4400,SEA SLUGS,NUDIBRANCHIA O.
4410,4410,BUSHY BACKSLUG,DENDRONOTUS SP.
4431,4431,GIANT CANOE BUBBLE,SCAPHANDER PUNCTOSTRIATUS
4500,4500,CEPHALOPODA C.,CEPHALOPODA C.
4508,4508,BATHYPOLYPUS SPP. ,BATHYPOLYPUS SPP. 
4509,4509,CIRROTEUTHIS SPP. ,CIRROTEUTHIS SPP.  
4510,4510,OMMASTREPHIDAE F.,OMMASTREPHIDAE F.
4511,4511,SHORT-FIN SQUID,ILLEX ILLECEBROSUS
4512,4512,"LONGFIN SQUID, LONGFIN INSHORE SQUID",LOLIGO PEALEII
4513,4513,OMMASTREPHES SP.,OMMASTREPHES SP.
4514,4514,SQUID (NS),"LOLIGINIDAE,OMMASTREPHIDAE F."
4515,4515,ILLEX SP.,ILLEX SP.
4520,4520,OCTOPUS,INCIRRINA S.O.
4521,4521,OCTOPUS,OCTOPODA O.
4522,4522,SEMIROSSIA TENERA,SEMIROSSIA TENERA
4527,4527,STAUROTEUTHIDAE F.,STAUROTEUTHIDAE F.
4529,4529,OCTOPODIDAE F.,OCTOPODIDAE F.
4536,4536,BOBTAIL SQUID,SEPIOLODAE F.
4541,4541,LOLIGO SP.,LOLIGO SP.
4555,4555,HISTIOTEUTHIS SP.,HISTIOTEUTHIS SP.
4559,4559,PTERYGIOTEUTHIS SP.,PTERYGIOTEUTHIS SP.
4560,4560,PYROTEUTHIS SP.,PYROTEUTHIS SP.
4562,4562,OCTOPOTEUTHIS SP.,OCTOPOTEUTHIS SP.
4568,4568,GONATIDAE F.,GONATIDAE F.
4569,4569,GONATUS SP.,GONATUS SP.
4574,4574,HISTIOTEUTHIDAE F.,HISTIOTEUTHIDAE F.
4580,4580,HISTIOTEUTHIS REVERSA,HISTIOTEUTHIS REVERSA
4584,4584,MASTIGOTEUTHIS SP.,MASTIGOTEUTHIS SP.
4590,4590,TAONIINAE S.F.,TAONIINAE S.F.
4599,4599,GONATUS FABRICII,GONATUS FABRICII
4657,4657,TEUTHOWENIA MEGALOPS,TEUTHOWENIA MEGALOPS
4660,4660,GONATUS STEENSTRUPII,GONATUS STEENSTRUPII
4700,4700,CHITONS,POLYPLACOPHORA C.
5100,5100,SEA SPIDER,PYCNOGONIDA S.P.
5101,5101,PYCNOGONIDAE O.,PYCNOGONIDAE O.
5102,5102,ANEMONE SEA SPIDER,PYCNOGONUM LITTORALE
5105,5105,COLOSSENDEIS SPP.,COLOSSENDEIS SPP.
5200,5200,LIMPET (NS),ARCHAEOGASTROPODA O.
6000,6000,SPINY SKINNED ANIMALS,ECHINODERMATA P.
6006,6006,PORTUNID CRABS,BATHYNECTES MARAVIGNA (SUPERBUS)
6100,6100,ASTEROIDEA S.C.,ASTEROIDEA S.C.
6101,6101,CEREMASTER GRANULARIS,CEREMASTER GRANULARIS
6102,6102,PORANIA PULVILIS,PORANIA PULVILIS
6105,6105,ASTERIIDAE F.,ASTERIIDAE F.
6106,6106,SCLERASTERIAS TANNERI,SCLERASTERIAS TANNERI
6107,6107,STEPHANASTERIAS ALBULA,STEPHANASTERIAS ALBULA
6109,6109,ASTERIAS FORBESI,ASTERIAS FORBESI
6110,6110,ASTERIAS SP.,ASTERIAS SP.
6111,6111,ASTERIAS RUBENS,ASTERIAS RUBENS
6113,6113,LEPTASTERIAS POLARIS,LEPTASTERIAS POLARIS
6114,6114,LEPTASTERIAS SP.,LEPTASTERIAS SP.
6115,6115,MUD STAR,CTENODISCUS CRISPATUS
6116,6116,PSEUDARCHASTER SP,PSEUDARCHASTER SP
6117,6117,HIPPASTERIA PHRYGIANA,HIPPASTERIA PHRYGIANA
6118,6118,BLOOD STAR (GENUS),HENRICIA SP.
6119,6119,BLOOD STAR,HENRICIA SANGUINOLENTA
6120,6120,HENRICA SP,HENRICA SP.
6121,6121,PURPLE SUNSTAR,SOLASTER ENDECA
6122,6122,SOLASTER SPP.,SOLASTER SPP.
6123,6123,SPINY SUNSTAR,CROSSASTER PAPPOSUS
6125,6125,PTERASTER MILITARIS,PTERASTER MILITARIS
6126,6126,PTERASTER PULVILLUS,PTERASTER PULVILLUS
6128,6128,MEDIASTER BAIRDI,MEDIASTER BAIRDI
6129,6129,PORANIOMORPHA HISPIDA,PORANIOMORPHA HISPIDA
6130,6130,PORANIOMORPHA BOREALIS,PORANIOMORPHA BOREALIS
6131,6131,DIPLOPTERASTER MULTIPES,DIPLOPTERASTER MULTIPES
6133,6133,PONTASTER SP.,PONTASTER SP.
6134,6134,SLENDER ARMED SEA STAR,LEPTASTERIAS TENERA
6135,6135,ASTROTECTEN DUPLICATUS,ASTROTECTEN DUPLICATUS
6136,6136,ASTROPECTEN AMERICANUS,ASTROPECTEN AMERICANUS
6139,6139,PLUTONASTER AGASSIZI,PLUTONASTER AGASSIZI
6149,6149,SOLASTER SYRTENSIS,SOLASTER SYRTENSIS
6200,6200,BRITTLE STAR,OPHIUROIDEA S.C.
6201,6201,OPHIACANTHA ABYSSICOLA,OPHIACANTHA ABYSSICOLA
6202,6202,OPHIACANTHA BIDENTATA,OPHIACANTHA BIDENTATA
6211,6211,DAISY,OPHIOPHOLIS ACULEATA
6212,6212,OPHIURA SP.,OPHIURA SP.
6213,6213,OPHIURA SARSI,OPHIURA SARSI
6218,6218,OPHIOMUSA LYMANI,OPHIOMUSA LYMANI
6300,6300,BASKET STARS,"GORGONOCEPHALIDAE,ASTERONYCHIDAE F."
6310,6310,GORGONOCEPHALUS SP.,GORGONOCEPHALUS SP.
6397,6397,"SAND DOLLARS,URCHINS (NS)",ECHINOIDEA C.
6400,6400,SEA URCHINS,STRONGYLOCENTROTUS SP.
6411,6411,SEA URCHIN (GREEN),STRONGYLOCENTROTUS DROEBACHIENSIS
6413,6413,HEART URCHIN,BRISASTER FRAGILIS
6421,6421,PURPLE-SPINED SEA URCHIN,ARBACIA PUNCTULATA
6500,6500,SAND DOLLARS,CLYPEASTEROIDA O.
6511,6511,ECHINARACHNIUS PARMA,ECHINARACHNIUS PARMA
6600,6600,HOLOTHUROIDEA C.,HOLOTHUROIDEA C.
6601,6601,F. PHYLLOPHORIDAE,PENTAMERA CALCIGERA
6611,6611,SEA CUCUMBER (COMMON),CUCUMARIA FRONDOSA
6615,6615,STEREODERMA UNISEMITA,STEREODERMA UNISEMITA
6710,6710,PSOLUS SP.,PSOLUS SP.
6713,6713,SCARLETT PSOLUS,PSOLUS FABRICII
6715,6715,PSOLUS PHANTAPUS,PSOLUS PHANTAPUS
6717,6717,CAUDINA ARENATA,CAUDINA ARENATA
6718,6718,MOLPADIA SP.,MOLPADIA SP.
6719,6719,CHIRIDOTA LAEVIS,CHIRIDOTA LAEVIS
6900,6900,SEA LILIES,CRINOIDEA C.
7000,7000,"PARASITES,ROUND WORMS","PARASITES,ROUND WORMS"
7100,7100,NEMATODA C.,NEMATODA C.
7500,7500,TURBELLARIA C.,TURBELLARIA C.
8000,8000,"CTENOPHORES,COELENTERATES,PORIFERA","CTENOPHORES,COELENTERATES,PORIFERA P."
8010,8010,MOON JELLY,AURELIA AURITA
8100,8100,COMB JELLIES,CTENOPHORA P.
8145,8145,BLIND LOBSTER,POLYCHELES SCULPTUS
8200,8200,COELENTERATA P.,COELENTERATA P.
8208,8208,ANTHOZOA SEA ANEMONES,ACTINIARIA O.
8209,8209,ACTINIIDAE F. ,ACTINIIDAE F. 
8216,8216,ACTINOSTOLA SPP. ,ACTINOSTOLA SPP. 
8300,8300,SEA ANEMONE,ANTHOZOA C.
8311,8311,METRIDIUM SENILE,METRIDIUM SENILE
8313,8313,STOMPHIA COCCINEA,STOMPHIA COCCINEA
8315,8315,TEALIA  FELINA,TEALIA  FELINA
8316,8316,HORMATHIA SP.,HORMATHIA SP.
8317,8317,BOLOCERA SP.,BOLOCERA SP.
8318,8318,SEA PEN,PENNATULACEA
8320,8320,PACHYCERIANTHUS BOREALIS,PACHYCERIANTHUS BOREALIS
8322,8322,SEA CORN,PRIMNOA RESEDAEFORMIS
8323,8323,BUBBLE GUM CORAL,PARAGORGIA ARBOREA
8324,8324,"SEA CAULIFLOWER, STRAWBERRIES",GERSEMIA RUBIFORMIS
8325,8325,GOLD-BANDED/BAMBOO CORAL,KERATOISIS ORNATA
8326,8326,ACANTHOGORGIA ARMATA,ACANTHOGORGIA ARMATA
8327,8327,SOFT CORAL UNIDENTIFIED,SOFT CORAL UNIDENTIFIED
8328,8328,ANTHOMASTUS GRANDIFLORUS,ANTHOMASTUS GRANDIFLORUS
8329,8329,ACANELLA ARBUSCULA,ACANELLA ARBUSCULA
8330,8330,RADICIPES GRACILIS,RADICIPES GRACILIS
8331,8331,SPIDER HAZARDS CORAL,LOPHELIA PERTUSA
8332,8332,CORAL (NS),ANTHOZOA
8333,8333,PARAMURICEA SPP,PARAMURICEA SPP
8335,8335,CUP CORAL,FLABELLUM SP
8336,8336,DEAD MANS FINGERS,ALCYONIUM DIGITATUM
8337,8337,BLACK CORALS THORNY CORALS,ANTIPATHARIAN O.
8338,8338,CHRYSOGORGIA AGASSIZII,CHRYSOGORGIA AGASSIZII
8339,8339,Clavularia spp,Clavularia spp.
8340,8340,ECHINUS SP.,ECHINUS SP.
8341,8341,HYDROZOA,SERTULARIA POLYZONIAS
8343,8343,RIBBON WORM,NEMERTEA
8344,8344,STAGHORN BRYOZOA,HETROPODIDAE
8345,8345,SEA CUCUMBER,THYONELLA AFF. PERVICAX
8346,8346,PSEUDARCHASTER PARELII,PSEUDARCHASTER PARELII
8347,8347,PSILASTER ANDROMEDA,PSILASTER ANDROMEDA
8348,8348,LEPTYCHASTER ARCTICUS,LEPTYCHASTER ARCTICUS
8349,8349,LOPHASTER FURCIFER,LOPHASTER FURCIFER
8352,8352,SYSCENUS INFELIX,SYSCENUS INFELIX
8353,8353,ACANTHEPHYRA PELAGICA,ACANTHEPHYRA PELAGICA
8354,8354,SERGIA SP.,SERGIA SP.
8355,8355,DEEP SEA FINNED OCTOPUS,"OCTOPODA, CIRRATA"
8356,8356,RHIZAXINELLA SP.,RHIZAXINELLA SP.
8357,8357,GORGONOCEPHALUS LAMARCKI,GORGONOCEPHALUS LAMARCKI
8358,8358,EUSIRUS CUSPIDATUS,EUSIRUS CUSPIDATUS
8359,8359,FUNICULINA QUADRANGULARIS,FUNICULINA QUADRANGULARIS
8360,8360,PENNATULA GRANDIS (BOREALIS),PENNATULA GRANDIS (BOREALIS)
8361,8361,ANTHOPTILUM GRANDIFLORUM,ANTHOPTILUM GRANDIFLORUM
8362,8362,FLABELLUM ALABASTRUM,FLABELLUM ALABASTRUM
8363,8363,HALIPTERUS (BALTICINA) SP.,HALIPTERUS (BALTICINA) SP.
8364,8364,GEODIA SPP.,GEODIA SPP.
8366,8366,NO LONGER USED - PHAKELLIA SPP.,NO LONGER USED - PHAKELLIA SPP.
8367,8367,PENNATULA ACULEATA,PENNATULA ACULEATA
8381,8381,EPIZOANTHIDAE F.,EPIZOANTHIDAE F.
8382,8382,EPIZOANTHUS SPP.,EPIZOANTHUS SPP.
8386,8386,NEPHTHEIDAE F.,NEPHTHEIDAE F.
8388,8388,DRIFA GLOMERATA,DRIFA GLOMERATA
8389,8389,DUVA FLORIDA,DUVA FLORIDA
8390,8390,GERSEMIA FRUTICOSA,GERSEMIA FRUTICOSA
8392,8392,HETEROPOLYPUS SPP. ,HETEROPOLYPUS SPP. 
8400,8400,HYDROZOA C.,HYDROZOA C.
8405,8405,GARLAND HYDROIDS,SERTULARIA SP.
8500,8500,JELLYFISHES,SCYPHOZOA C.
8506,8506,ATOLLA WYVILLEI,ATOLLA WYVILLEI
8511,8511,PINK JELLYFISH,CYANEA CAPILLATA
8516,8516,PERIPHYLLA PERIPHYLLA,PERIPHYLLA PERIPHYLLA
8520,8520,JELLYFISH,PELAGIA NOCTILUCA
8530,8530,SEA CORALS (NS),SEA CORALS (NS)
8550,8550,STAUROZOA C.,STAUROZOA C. 
8600,8600,SPONGES,PORIFERA P.
8601,8601,RUSSIAN HATS,VAZELLA POURTALESI
8605,8605,POLYMASTIA F.,POLYMASTIA F.
8608,8608,POLYMASTIA HEMISPHAERICA,POLYMASTIA HEMISPHAERICA
8609,8609,POLYMASTIA ANDRICA,POLYMASTIA ANDRICA
8610,8610,POLYMASTIA SP.,POLYMASTIA SP.
8611,8611,POLYMASTIA MAMMILARIS,POLYMASTIA MAMMILARIS
8612,8612,TENTORIUM SEMISUBERITES,TENTORIUM SEMISUBERITES
8613,8613,FIG SPONGE,SUBERITES FICUS
8616,8616,MYCALE LINGUA,MYCALE LINGUA
8618,8618,HALICLONA SP.,HALICLONA SP.
8621,8621,EYED SPONGE,HALICLONA OCULATA
8625,8625,THENEA SP.,THENEA SP.
8700,8700,SIPHONOPHORA O.,SIPHONOPHORA O.
9000,9000,"UNID REMAINS,DIGESTED","UNID REMAINS,DIGESTED"
9001,9001,UNID FISH AND INVERTEBRATES,UNID FISH AND INVERTEBRATES
9002,9002,UNID FISH AND REMAINS,UNID FISH AND REMAINS
9003,9003,UNID FISH AND EGGS,UNID FISH AND EGGS
9200,9200,STONES AND ROCKS,STONES AND ROCKS
9300,9300,"SEAWEED,(ALGAE),KELP",THALLOPHYTA C.
9301,9301,BROWN ROCKWEED,FUCUS SP.
9302,9302,SEA LETTUCE,ULVA SP.
9303,9303,BROWN SEAWEEDS,PHAEOPHYCEAE C.
9305,9305,EEL GRASS,ZOSTERA MARINA
9308,9308,SOUR WEED,DESMARESTIA ACULEATA
9313,9313,LEATHESIA DIFFORMIS,LEATHESIA DIFFORMIS
9321,9321,LASAGNA KELP,LAMINARIA LONGICRURIS
9322,9322,HORSETAIL KELP,LAMINARIA DIGITATA
9323,9323,SEA WHIP KELP,ALARIA ESCULENTA
9324,9324,PIGSKIN KELP,SACCORHIZA DERMATODEA
9325,9325,SEA COLANDER/ HOLEY KELP,AGARUM CRIBROSUM
9327,9327,BLADDER WRACK,FUCUS VESICULOSUS
9328,9328,ROCK WEED,FUCUS DISTICHUS
9331,9331,KNOTTED WRACK,ASCOPHYLLUM NODOSUM
9334,9334,DULSE,PALMARIA PALMATA
9400,9400,"FOREIGN ARTICLES,GARBAGE","FOREIGN ARTICLES,GARBAGE"
9488,9488,GREATER SHEARWATER,PUFFINUS GRAVIS
9630,9630,ORGANIC DEBRIS,ORGANIC DEBRIS
9991,9991,FIRST UNIDENTIFIED PER SET,UNIDENTIFIED
9992,9992,SECOND UNIDENTIFIED PER SET,UNIDENTIFIED
9993,9993,THIRD UNIDENTIFIED PER SET,UNIDENTIFIED
9994,9994,FOURTH UNIDENTIFIED PER SET,UNIDENTIFIED
9995,9995,FIFTH UNIDENTIFIED PER SET,UNIDENTIFIED
9996,9996,SIXTH UNIDENTIFIED PER SET,UNIDENTIFIED
9997,9997,SEVENTH UNIDENTIFIED PER SET,UNIDENTIFIED
9998,9998,EIGHTH UNIDENTIFIED PER SET,UNIDENTIFIED
9999,9999,RESERVED,RESERVED
