index,CODE,COMM,SPEC
413,413,LONGNOSE GRENADIER,CAELORINCHUS CAELORINCHUS
414,414,ROUNDNOSE GRENADIER,CORYPHAENOIDES RUPESTRIS
416,416,GRENADIERS (NS),MACROURIDAE F.
431,431,CONGER SP.,CONGER SP.
455,455,"EELS, CUTTHROAT (NS)",SYNAPHOBRANCHIDAE F.
463,463,"EELS,SNIPE (NS)",NEMICHTHYIDAE F.
465,465,LAMPANYCTUS PHOTONOTUS,LAMPANYCTUS PHOTONOTUS
478,478,NOTOSCOPELUS CAUDISPINOSUS,NOTOSCOPELUS CAUDISPINOSUS
484,484,PARALEPIS ELONGATA,PARALEPIS ELONGATA
488,488,EVERMANELLA INDICA,EVERMANELLA INDICA
494,494,SCOPELOBERYX ROBUSTUS,SCOPELOBERYX ROBUSTUS
498,498,YELLOWFIN BASS,ANTHIAS NICHOLSI
500,500,SEASNAIL UNIDENTIFIED,LIPARIS SP.
501,501,LUMPFISH,CYCLOPTERUS LUMPUS
502,502,ATLANTIC SPINY LUMPSUCKER,EUMICROTREMUS SPINOSUS
503,503,ATLANTIC SEASNAIL,LIPARIS ATLANTICUS
504,504,STRIPED SEASNAIL,LIPARIS LIPARIS
505,505,"SEASNAIL,GELATINOUS",LIPARIS FABRICII
506,506,GREENLAND SEASNAIL,LIPARIS TUNICATUS
507,507,LONGFIN SEASNAIL,CAREPROCTUS LONGIPINNIS
508,508,INQUILINE SEASNAIL,LIPARIS INQUILINUS
511,511,BLACKSNOUT SEASNAIL,PARALIPARIS COPEI
512,512,"SEASNAIL,DUSKY",LIPARIS GIBBUS
513,513,GULF SEA SNAIL,LIPARIS COHENI
514,514,"LUMPFISHES,SEASNAILS (NS)",CYCLOPTERIDAE F.
515,515,SEA TADPOLE(NS),CAREPROCTUS  SP.
520,520,SEA TADPOLE,CAREPROCTUS REINHARDTI
526,526,BATHYLAGUS BERICOIDES,BATHYLAGUS BERICOIDES
530,530,GAPPER,CHAUNAX SP.
532,532,CUBICEPS GRACILIS,CUBICEPS GRACILIS
556,556,LONGSPINE SNIPEFISH,MACRORHAMPHOSUS SCOLOPAX
557,557,MELAMPHAES SUBORBITALIS,MELAMPHAES SUBORBITALIS
558,558,MELAMPHAEIDAE,MELAMPHAEIDAE
565,565,BARRACUDINA (NS),PARALEPIS  SP.
571,571,SCOPELOGADUS SP.,SCOPELOGADUS SP.
576,576,BLACKMOUTH BASS,SYNAGROPS BELLA
586,586,SEAWEED BLENNY,PARABLENNIUS MARMOREUS
587,587,EPIGONUS PANDIONIS,EPIGONUS PANDIONIS
588,588,SCOPELOSAURUS LEPIDUS,SCOPELOSAURUS LEPIDUS
590,590,SAND LANCES (NS),AMMODYTIDAE F.
592,592,SHARK (NS),SHARK (NS)
593,593,GREENEYES (NS),CHLOROPHTHALMIDAE
594,594,"SMOOTHHEAD,AGASSIZ'S",ALEPOCEPHALUS AGASSIZII
595,595,RED DORY,CYTTOPSIS ROSEA
596,596,BIGEYE SMOOTH-HEAD,BAJACALIFORNIA MEGALOPS
598,598,EELPOUTS (NS),ZOARCIDAE F.
599,599,AMERICAN SAND LANCE,AMMODYTES AMERICANUS
600,600,AMERICAN EEL,ANGUILLA ROSTRATA
601,601,"SNUBNOSE EEL, SLIME EEL",SIMENCHELYS PARASITICA
602,602,GRAY'S CUTTHROAT EEL,SYNAPHOBRANCHUS KAUPI
603,603,WOLF EELPOUT,LYCENCHELYS VERRILLI
604,604,SNIPE EEL,NEMICHTHYS SCOLOPACEUS
607,607,DUCKBILL OCEANIC EEL,NESSORHAMPHUS INGOLFIANUS
608,608,CONGER EEL,CONGER OCEANICUS
609,609,SNAKE EEL,OPHICHTHUS CRUENTIFER
610,610,NORTHERN SAND LANCE,AMMODYTES DUBIUS
611,611,SAND LANCE (NS),AMMODYTES SP.
612,612,DERICHTHYS SERPENTINUS,DERICHTHYS SERPENTINUS
613,613,STOUT SAWPALATE,SERRIVOMER BEANI
614,614,PELICAN GULPER,EURYPHARYNX PELECANOIDES
615,615,BACKFIN TAPIRFISH,LIPOGENYS GILLII
616,616,FISH DOCTOR,GYMNELIS VIRIDIS
617,617,COMMON WOLF EEL,LYCENCHELYS PAXILLUS
619,619,"EELPOUT,NEWFOUNDLAND",LYCODES TERRAENOVA
620,620,LAVAL'S EELPOUT,LYCODES LAVALAEI
621,621,ROCK GUNNEL(EEL),PHOLIS GUNNELLUS
622,622,SNAKE BLENNY,LUMPENUS LUMPRETAEFORMIS
623,623,DAUBED SHANNY,LUMPENUS MACULATUS
624,624,ARCTIC SHANNY,STICHAEUS PUNCTATUS
625,625,RADIATED SHANNY,ULVARIA SUBBIFURCATA
626,626,4-LINE SNAKE BLENNY,EUMESOGRAMMUS PRAECISUS
627,627,PALE EELPOUT,LYCODES PALLIDUS
628,628,POLAR EELPOUT,LYCODES POLARIS
630,630,WRYMOUTH,CRYPTACANTHODES MACULATUS
631,631,SLENDER EELBLENNY,LUMPENUS FABRICII
632,632,STOUT EELBLENNY,LUMPENUS MEDIUS
633,633,BANDED GUNNEL,PHOLIS FASCIATA
634,634,UNIDENTIFIED EELS,ANGUILLOIDEI S.O.
635,635,DRAGONETS,CALLIONYMIDAE F.
637,637,SPOTFIN DRAGONET,FOETOREPUS AGASSIZI
639,639,PRICKLEBACKS,STICHAEIDAE F.
640,640,OCEAN POUT,ZOARCES AMERICANUS
641,641,ARCTIC EELPOUT,LYCODES RETICULATUS
642,642,EELPOUTS(NS),LYCODES SP.
643,643,VACHON'S EELPOUT,LYCODES ESMARKI
644,644,"BLENNIES,SHANNIES,GUNNELS",BLENNIOIDEI S.O.
646,646,ATLANTIC SOFT POUT,MELANOSTIGMA ATLANTICUM
647,647,SHORTTAILED EELPOUT(VAHL),LYCODES VAHLII
648,648,EEL-UNIDENTIFIED,ANGUILLIDAE F.
